"identificador";"nome";"avaliacao"
ICN-IARIA;IARIA International Conference on Networks;B4
"1531636X";IEEE CIRCUITS AND SYSTEMS MAGAZINE (NEW YORK, N.Y. 2001: PRINT);A1
"02663538";COMPOSITES SCIENCE AND TECHNOLOGY;A1
"19367406";ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS;A3
CoopIS;International Conference on Cooperative Information Systems;B2
"02698889";THE KNOWLEDGE ENGINEERING REVIEW;A4
"16871499";EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING;A4
"19498454";WORLD JOURNAL OF BIOLOGICAL CHEMISTRY;nulo
ICSPCEC;International Conference on Signal Processing, Communication, Power and Embedded System;B3
"15476286";RNA BIOLOGY;A2
EUROHAPTICS;Eurohaptics;A3
"2236269X";INDEPENDENT JOURNAL OF MANAGEMENT & PRODUCTION;nulo
"00457825";COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING;A1
"19476027";GENES & CANCER;A3
"21567018";JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS;B2
SpatialBigData;Spatial Big Data and Machine Learning in GIScience;B4
CBTMS;Congresso Brasileiro de Telemedicina e Telesaúde;B4
ICFP;International Conference on Functional Programming;A2
FM;International Symposium on Formal Methods;A3
"00220833";JOURNAL OF ENGINEERING MATHEMATICS;A2
CLOUDCOMPUTING-IARIA;IARIA International Conference on Cloud Computing, GRIDs, and Virtualization;B3
WIT-CSBC;WOMEN IN INFORMATION TECHNOLOGY;B4
SEA;International Symposium on Experimental Algorithms;A3
SOFTENG-IARIA;IARIA International Conference on Advances and Trends in Software Engineering;B4
NTMS;IFIP International Conference on New Technologies, Mobility and Security;B2
"19590318";I R B M NEWS;B2
"17410444";MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING (ONLINE);A3
"08981221";COMPUTERS & MATHEMATICS WITH APPLICATIONS (1987);A2
"14220067";INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE);A2
INDUSCON;International Conference on Industry Applications;B3
CBS;IEEE International Conference on Cyborg and Bionic Systems;B4
"01976729";JOURNAL OF ADVANCED TRANSPORTATION;A2
"2236739X";REVISTA RETEC;nulo
"19479263";INTERNATIONAL JOURNAL OF SWARM INTELLIGENCE RESEARCH (PRINT);B3
SOUPS;Symposium On Usable Privacy and Security;A2
"19835604";SISTEMAS DE INFORMAÇÃO (MACAÉ);nulo
"1110757X";JOURNAL OF APPLIED MATHEMATICS;B2
"19822243";VEREDAS - REVISTA DE ESTUDOS LINGUÍSTICOS;nulo
BDCLOUD;International Conference on Big Data and Cloud Computing;B1
WSKS;World Summit on the Kowledge Society;B4
FORMATS;International Conference on Formal Modeling and Analysis of Timed Systems;B1
PERCOM;International Conference on Pervasive Computing and Communications;A2
"19838484";REBRAE. REVISTA BRASILEIRA DE ESTRATÉGIA (IMPRESSO);nulo
EWSN;European Conference on Wireless Sensor Networks;B1
"21978581";INTERNATIONAL JOURNAL OF RECENT CONTRIBUTIONS FROM ENGINEERING, SCIENCE & IT;nulo
CLOUDTECH;International Conference on Cloud Computing Technologies and Applications;B3
DGCI;Discrete Geometry for Computer Imagery;B1
"15710645";PHYSICS OF LIFE REVIEWS (PRINT);A1
"08936080";NEURAL NETWORKS;A1
"3DIC";International 3D System Integration Conference;B1
MISE;Workshop on Modeling in Software Engineering;B2
ICDCS;International Conference on Distributed Computing Systems;A1
WWW;International World Wide Web Conferences;A1
EUC;IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing;B4
"00653438";ADVANCES IN THE ASTRONAUTICAL SCIENCES;B3
"19825587";REVISTA IBERO-AMERICANA DE ESTUDOS EM EDUCAÇÃO;nulo
BMAW;Bayesian Modeling Applications Workshop;B4
ICC;IEEE International Conference on Communications;A1
AISEC;ACM Workshop on Artificial Intelligence and Security;A4
"18080588";E.T.C. EDUCAÇÃO, TECNOLOGIA E CULTURA;nulo
"19834659";REVISTA DE ADMINISTRAÇÃO DA UFSM;nulo
"17518725";IET MICROWAVES, ANTENNAS & PROPAGATION (PRINT);A3
"15168913";BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (IMPRESSO);A4
"15708705";AD HOC NETWORKS;A1
"15708683";JOURNAL OF APPLIED LOGIC;A2
SOCC;IEEE International System-on-Chip Conference;B4
DMS;International Conference on Distributed Multimedia Systems;B4
PPDP;International Symposium on Principles and Practice of Declarative Programming;B1
PCS;Picture Coding Symposium;A4
ICSOB;International Conference on Software Business;B1
"10902724";JOURNAL OF COMPUTER AND SYSTEM SCIENCES (ONLINE);A2
"0010485X";COMPUTING (WIEN. PRINT);A1
"01400118";MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING;A3
EATIS;Euro American Conference on Telematics and Information Systems;B3
IBERAMIA;Ibero-American Conference on Artificial Intelligence;B3
"09670661";CONTROL ENGINEERING PRACTICE;A1
"22519149";INTERNATIONAL CARDIOVASCULAR RESEARCH JOURNAL;B3
NordiCHI;Nordic Conference on Human-Computer Interaction;A4
"07342071";ACM TRANSACTIONS ON COMPUTER SYSTEMS;A2
"10730516";ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION;A2
EGOVIS;International Conference on Electronic Government and the Information Systems Perspective;B1
ICMI;ACM International Conference on Multimodal Interfaces;A2
"1573756X";DATA MINING AND KNOWLEDGE DISCOVERY (DORDRECHT. ONLINE);A1
"19814070";LUMINA (UFJF. ONLINE);nulo
"08957177";MATHEMATICAL AND COMPUTER MODELLING;nulo
"15261506";COMPUTER MODELING IN ENGINEERING & SCIENCES;B3
AlCoB;International Conference on Algorithms for Computational Biology;B1
ISEA;International Symposium on Electronic Arts;B4
"01480227";JOURNAL OF GEOPHYSICAL RESEARCH;A1
"00189456";IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT;A1
"19353812";SWARM INTELLIGENCE;A2
"3DOR";Eurographics Workshop on 3D Object Retrieval;B2
"21798451";TENDÊNCIAS EM MATEMÁTICA APLICADA E COMPUTACIONAL;nulo
"17489326";ENVIRONMENTAL RESEARCH LETTERS;A1
SWWSWC;International Conference on Semantic Web and Web Services;B4
"07437315";JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING (PRINT);A2
"14319276";MICROSCOPY AND MICROANALYSIS (PRINT);A3
"20462069";RSC ADVANCES: AN INTERNATIONAL JOURNAL TO FURTHER THE CHEMICAL SCIENCES;A2
"03701573";PHYSICS REPORTS;A1
"16572831";REVISTA COLOMBIANA DE COMPUTACION;nulo
CSNDSP;International Symposium on Communication Systems, Networks and Digital Signal Processing;B1
"15179702";EDUCAÇÃO E PESQUISA (USP.IMPRESSO);B2
"00903973";JOURNAL OF TESTING AND EVALUATION;B2
PACT;International Conference on Parallel Computing Technologies;B1
"13658050";DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE (ONLINE);B2
WSCG;International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision;B4
SLERD;Conference on Smart Learning Ecosystems and Regional Development;B4
"01038478";CIÊNCIA RURAL (UFSM. IMPRESSO);A4
MSVWC;International Conference on Modeling, Simulation and Visualization Methods;B3
"15197859";AÇÃO ERGONÔMICA;nulo
"20411723";NATURE COMMUNICATIONS;A1
MWE;Workshop on Multiword Expressions;B3
WTranS;Workshop de Transparência de Sistema;B4
"1433299X";FORMAL ASPECTS OF COMPUTING (INTERNET);A3
"23294949";ACM TRANSACTIONS ON PARALLEL COMPUTING;A4
PESGM;IEEE Power & Energy Society General Meeting;A1
"15729397";JOURNAL OF HEURISTICS (DORDRECHT. ONLINE);A3
"21CW";IEEE Conference on Norbert Wiener in the 21st Century;B2
"00200190";INFORMATION PROCESSING LETTERS (PRINT);A4
"15501477";INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS (ONLINE);A2
SAFECOMP;International Conference on Computer Safety, Reliability, and Security;A3
"19352735";PLOS NEGLECTED TROPICAL DISEASES (ONLINE);A1
IMIS;International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing;A3
FTXS;Workshop on Fault Tolerance for HPC at eXtreme Scale;B3
AICT;International Conference on Application of Information and Communication Technologies;B3
"17518806";IET SOFTWARE (PRINT);A4
"1465363X";JOURNAL OF LOGIC AND COMPUTATION;A1
WAlgProg;Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação;B4
"14684330";INTERNATIONAL JOURNAL OF MANAGEMENT AND ENTERPRISE DEVELOPMENT (PRINT);B1
"15409589";JOURNAL OF WEB ENGINEERING;B2
"01004042";QUÍMICA NOVA (IMPRESSO);B2
QoSA;International ACM Sigsoft Conference on the Quality of Software Architectures;A4
"13596535";ANTIVIRAL THERAPY (LONDON);A4
"15730409";JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS (DORDRECHT. ONLINE);A2
"21693285";SOCIAL NETWORKING;nulo
"16785142";PESQUISA OPERACIONAL (ONLINE);nulo
ESEC/FSE;Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering;A1
"16113349";LECTURE NOTES IN COMPUTER SCIENCE (INTERNET);A4
SGAI;SGAI International Conference on Artificial Intelligence;B3
MICCAI;International Conference on Medical Image Computing and Computer Assisted Intervention;A1
FOSD;International Workshop on Feature-Oriented Software Development;B3
ELECAI;Electronics, Computers and Artificial Intelligence;B2
SAMWC;International Conference on Security and Management;B2
"23201827";INTERNATIONAL JOURNAL ON ADVANCES IN LIFE SCIENCES;nulo
OFC;IEEE Optical Fiber Communication Conference;A1
"17516536";INTERNATIONAL JOURNAL OF HIGH PERFORMANCE SYSTEMS ARCHITECTURE;B4
"07338716";IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (PRINT);A1
TCC;Theory of Cryptography;A2
"19328540";IEEE-RITA;A3
"10957189";SIAM JOURNAL ON OPTIMIZATION;A2
CIVTS;IEEE Symposium on Computational Intelligence in Vehicles and Transportation Systems;B2
"01641212";THE JOURNAL OF SYSTEMS AND SOFTWARE (JSS);A1
ARMS-CC;International Workshop on Adaptive Resource Management and Scheduling for Cloud Computing;B3
"08943370";INTERNATIONAL JOURNAL OF NUMERICAL MODELLING (PRINT);B1
"21514771";CREATIVE EDUCATION;nulo
DISC;International Symposium on Distributed Computing;A3
"01485598";JOURNAL OF MEDICAL SYSTEMS;A2
SSM;SOUTH SYMPOSIUM ON MICROELECTRONICS;B4
"21760144";REVISTA CONEXÕES - CIÊNCIA E TECNOLOGIA;nulo
"23155159";GLOBAL ADVANCED RESEARCH JOURNAL OF MEDICINE AND MEDICAL SCIENCES (GARJMMS);nulo
"0307904X";APPLIED MATHEMATICAL MODELLING;A1
WCCE;IFIP World Conference on Computers in Education;B4
"00189340";IEEE TRANSACTIONS ON COMPUTERS (PRINT);A1
WESAAC;Workshop-Escola de Sistemas Agentes, seus Ambientes e apliCações;B4
ISQED;International Symposium on Quality Electronic Design;A4
ICISO;International Conference on Informatics and Semiotics in Organisations;B3
"18095585";REVISTA DE INFORMÁTICA APLICADA;nulo
ICIST;International Conference on Information and Software Technologies;B2
RoboSoft;IEEE International Conference on Soft Robotics;B4
"13852256";PRECISION AGRICULTURE (PRINT);A1
