"id";"curriculo_id";"tipo_producao";"titulo";"identificador";"veiculo"
223403;5523293886612004;TRABALHO_EM_EVENTO;Reinsurance Analytics Using Serial and Parallel Computation on the Multiobjective Evolutionary Algorithm SPEA2;Congresso Brasileiro de Automática;Congresso Brasileiro de Automática
222996;8287861610873629;TRABALHO_EM_EVENTO;Identificando as Atividades dos Grupos do Programa de Educação Tutorial na Área de Computação no Apoio à Inclusão e Alfabetização Digital;XXV WIE - XXV Workshop de Informática na Escola;XXV WIE - XXV Workshop de Informática na Escola
223536;3452982259415951;TRABALHO_EM_EVENTO;UseSkill: uma ferramenta que auxilia na realização de avaliações de usabilidade em aplicações Web;Sessão de Ferramentas do Congresso Brasileiro de Software: Teoria e Prática;Anais do VII Congresso Brasileiro de Software: Teoria e Prática
223144;65931835203045;TRABALHO_EM_EVENTO;Estimação do fluxo óptico com a adição de informação de cor;VIII Simpósio Brasileiro de Automação Inteligente;Anais do VIII Simpósio Brasileiro de Automação Inteligente
223537;3452982259415951;TRABALHO_EM_EVENTO;Detecção de Variabilidades e Comunalidades em uma Família de Produtos de Software;VI Workshop de Teses e Dissertações do CBSoft;Anais do VI Workshop de Teses e Dissertações do CBSoft
222608;2446301582459104;TRABALHO_EM_EVENTO;Modelagem de restrições de Confiabilidade na Reconfiguração de Redes de Distribuição Usando o Método de Busca Tabu;Simpósio Brasileiro de Automação Inteligente- SBAI;Anais do Simpósio Brasileiro de Automação Inteligente
223105;6047330108382641;ARTIGO-PUBLICADO;Breast Cancer Detection in Mammography using Spatial Diversity, Geostatistics and Concave Geometry;"13807501";MULTIMEDIA TOOLS AND APPLICATIONS
222255;6047330108382641;ARTIGO-PUBLICADO;Glaucoma diagnosis in fundus eye images using diversity indexes;"13807501";MULTIMEDIA TOOLS AND APPLICATIONS
222675;1512846862093142;ARTIGO-PUBLICADO;TAL Template Authoring Language;"01046500";Journal of the Brazilian Computer Society (Impresso)
222634;2352727269839328;TRABALHO_EM_EVENTO;Biomedical use of infrared images;"18th International Conference on Systems, Signals and Image Processing";Proceedings of IWSSIP2011
223529;3452982259415951;TRABALHO_EM_EVENTO;Ferramentas Para Desenvolvimento de Sistemas Baseados em Inteligência Computacional: Um Mapeamento Sistemático;Simpósio Brasileiro de Automação Inteligente (SBAI);XII SBAI - Simpósio Brasileiro de Automação Inteligente
222172;4545154317245176;TRABALHO_EM_EVENTO;Geo-SDVN: A Geocast Protocol for Software Defined Vehicular Networks;"2018 IEEE International Conference on Communications (ICC 2018)";"2018 IEEE International Conference on Communications (ICC)"
223472;3452982259415951;ARTIGO-PUBLICADO;LabSystem Gen, a tool for structuring and analyzing genetic data in histocompatibility laboratories;"00104825";Computers in Biology and Medicine
222100;5892952730297435;ARTIGO-PUBLICADO;Algoritmo de Roteamento com Balanceamento de Carga Adaptado a Redes Ópticas Elásticas;"21766649";REVISTA BRASILEIRA DE COMPUTAÇÃO APLICADA
222931;8287861610873629;ARTIGO-PUBLICADO;Reconhecimento de ações judiciais relacionadas ao consumo de energia não registrado utilizando engenharia de características de relacionamento temporalizadas e rede LSTM;"25953621";Brazilian Applied Science Review
222597;2446301582459104;ARTIGO-PUBLICADO;Solid Indeterminate Nodules with a Radiological Stability Suggesting Benignity: A Texture Analysis of Computed Tomography Images Based on the Kurtosis and Skewness of the Nodule Volume Density Histogram;"20901844";Pulmonary Medicine
222046;5971556358191272;TRABALHO_EM_EVENTO;Representation of Odometry Erros on Occupancy Grids;International Conference on Informatics in Control, Automation & Robotics - ICINCO (2008);Proceedings of 5th International Conference on Informatics in Control, Automation & Robotics - ICINCO (2008)
223375;5523293886612004;TRABALHO_EM_EVENTO;Symbol Mapping Optimization for Cooperative Systems with a Hybrid Search Algorithm;Simpósio Brasileiro de Telecomunicações;Simpósio Brasileiro de Telecomunicações
222275;6446831084215512;ARTIGO-PUBLICADO;Evolving Convolutional Neural Networks for Glaucoma Diagnosis;"";Brazilian Journal of Health Review
222637;2446301582459104;TRABALHO_EM_EVENTO;Diagnosis of breast regions through the use of Ripley?s K function and svm;IASTED International Conference Signal and Image Processing (SIP 2012);Proceedings of the IASTED International Conference Signal and Image Processing (SIP 2012)
222631;2446301582459104;TRABALHO_EM_EVENTO;Convergence of Augmented Reality and Scientific Visualization, and its Application to Energy, Medicine and Sports;"17th International Conference on Systems, Signals and Image Processing (IWSSIP 2010)";"17th International Conference on Systems, Signals and Image Processing"
223282;9943003955628885;TRABALHO_EM_EVENTO;Implementação de um disco virtual seguro baseado em web services;Jornada de Informática do Maranhão (JIM);Jornada de Informática do Maranhão (JIM)
222985;8287861610873629;TRABALHO_EM_EVENTO;Diagnóstico do Glaucoma em Imagens de Retinografia usando Variantes de Padrões Locais Binários;"18º SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO APLICADA À SAÚDE (SBCAS) (WIM 2018)";SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO APLICADA À SAÚDE
222950;8287861610873629;TRABALHO_EM_EVENTO;Análise do Impacto de Regiões de Fundo e Sub Padrões Recorrentes no Reconhecimento de Massas em Mamografias;XXVII Seminário de Iniciação Científica - UFMA;Anais do XXVII SEMIC-UFMA
222547;770343284012942;TRABALHO_EM_EVENTO;MHNSS: A Middleware for Developing Speech-based Interaction Mobile Applications;XIII Simpósio Brasileiro Sobre Fatores Humanos em Sistemas Computacionais (IHC 2014);Anais do XIII Simpósio Brasileiro Sobre Fatores Humanos em Sistemas Computacionais (IHC 2014)
222425;2446301582459104;TRABALHO_EM_EVENTO;Detecção automática de medidores elétricos em imagens utilizando uma combinação de SVM e CNN;XIII Simpósio Brasileiro de Automação Inteligente (SBAI);Anais do XIII Simpósio Brasileiro de Automação Inteligente
222811;9297257833779277;TRABALHO_EM_EVENTO;A qualitative study about the life cycle of lessons learned;"2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)";"2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)"
222268;6446831084215512;ARTIGO-PUBLICADO;Classification of breast masses in mammograms using geometric and topological feature maps and shape distribution;"24464740";RESEARCH ON BIOMEDICAL ENGINEERING
222095;4545154317245176;ARTIGO-PUBLICADO;Aplicação de ferramentas computacionais para o desenvolvimento do ensino de crianças com autismo: um Mapeamento Sistemático da Literatura;"23176121";Revista Brasileira de Informática na Educação (RBIE)
223358;5523293886612004;TRABALHO_EM_EVENTO;Estratégias Evolutivas Baseadas em Bandos Aplicadas ao Problema do Despacho Econômico não Convexo Considerando Multicombustiveis;Simpósio Brasileiro de Automática Inteligente;Simpósio Brasileiro de Automática Inteligente
